date,open,high,low,close,volume,ex_rate,
20180917,2314.55,2314.55,2295.26,2303.01,343167,1126.6,
20180914,2304.7,2318.65,2304.15,2318.25,292236,1116.6,
20180913,2285.28,2291.51,2281.63,2286.23,301308,1122.4,
20180912,2286.28,2289.66,2271,2282.92,336830,1128.6,
20180911,2286.91,2295.76,2275.13,2283.2,368210,1125.3,
20180910,2277.35,2289.38,2276.6,2288.66,312612,1128.4,
20180907,2278.08,2286.82,2264.9,2281.58,357560,1122.8,
20180906,2288.8,2298.47,2284.5,2287.61,387510,1124,
20180905,2310.9,2315.43,2288.01,2291.77,358187,1121.5,
20180904,2308.96,2317.74,2302.17,2315.72,277014,1114.9,
20180903,2317.93,2318.72,2302.17,2307.03,230513,1110.3,
20180831,2298.13,2322.88,2295.72,2322.88,255908,1112.9,
20180830,2313.11,2320.85,2305.46,2307.35,286926,1108.6,
20180829,2304.66,2309.88,2300.21,2309.03,268214,1110.2,
20180828,2312.14,2314.6,2299.45,2303.12,276889,1110,
20180827,2297.32,2302.87,2289.41,2299.3,307044,1113.8,
20180824,2276.16,2295.22,2271.35,2293.21,347291,1118.9,
20180823,2282.57,2282.88,2268.06,2282.6,338386,1121.4,
20180822,2273.68,2280.31,2268.91,2273.33,269270,1118.9,
20180821,2248.04,2272.86,2244.59,2270.06,294337,1118.4,
20180820,2257.35,2264.42,2245.06,2247.88,271600,1123.1,
20180817,2244.61,2250.92,2240.14,2247.05,238377,1124.9,
20180816,2233.05,2244.08,2218.09,2240.8,312519,1130.1,
20180814,2249.86,2262.52,2247.37,2258.91,255216,1127.9,
20180813,2266.43,2271.82,2238.55,2248.45,335380,1133.9,
20180810,2295.21,2295.62,2277.89,2282.79,286161,1128.9,
20180809,2303.04,2303.71,2291.91,2303.71,244882,1117.2,
20180808,2305.73,2308.6,2298.41,2301.45,299691,1119.9,
20180807,2290.85,2301.27,2279.55,2300.16,230339,1123.8,
20180806,2288.51,2300.38,2283.26,2286.5,244548,1124,
20180803,2278.33,2288.93,2272.94,2287.68,270494,1127.6,
20180802,2304.14,2306.72,2265.46,2270.2,352056,1126.1,
20180801,2301.17,2312.65,2301.13,2307.07,219034,1120.6,
20180731,2292.23,2296.6,2286.02,2295.26,223927,1118.7,
20180730,2290.18,2296.91,2283.29,2293.51,206497,1120.2,
